"Id","Predicted"
1,920.149585252453
2,920.597935343627
3,865.891502266386
4,840.152755045565
5,944.5269172673
6,849.598089735315
7,938.332544107805
8,843.841750074556
9,848.987236329005
10,875.641447782953
11,919.341554856219
12,904.616257397327
13,848.764163929794
14,934.594437663764
15,913.527550656188
16,862.280092564877
17,858.429132099889
18,848.109193565368
19,915.717366599143
20,901.599587343851
21,947.386334217648
22,884.736075923705
23,898.801647203465
24,850.078083549539
25,923.183500325089
26,978.967268921551
27,896.815219819706
28,832.694488414476
29,1015.20187448933
30,908.596389820625
31,955.544424113032
32,921.075599588978
33,1008.69675576629
34,905.766750272815
35,843.560425016592
36,839.127841808455
37,913.522855802192
38,936.441174486667
39,988.422979768744
40,926.16298683382
41,829.715122645241
42,956.554963093979
43,877.121853260469
44,884.308330663247
45,932.335690908571
46,843.722356891551
47,978.252227716614
48,939.22607637613
49,856.180702783342
50,963.82903552067
51,841.805568359036
52,955.324349070012
53,916.625368820896
54,853.492794622376
55,842.118444636202
56,870.47874058882
57,896.572476426052
58,935.041114062042
59,917.183278233206
60,855.220367208822
61,833.482748464769
62,895.629472804489
63,921.733624493616
64,853.998167419035
65,849.471367920807
66,872.210364554281
67,918.803074142124
68,935.773297225402
69,908.671571528685
70,949.635369507698
71,844.347530627987
72,922.47755988178
73,973.72317260204
74,866.816758174071
75,937.597835613633
76,892.241145441672
77,916.637265327023
78,929.585368321321
79,816.979575458681
80,848.313790976958
81,812.081873747491
82,981.899720963527
83,951.140211535807
84,833.672155748529
85,941.128610653075
86,893.076005655297
87,890.541275885902
88,863.300849583116
89,924.424445536657
90,920.341393982526
91,947.807454329872
92,928.834754298194
93,882.199397784658
94,844.340889455314
95,921.482698098043
96,828.021996775919
97,916.082781353834
98,983.580848387064
99,951.221094488385
100,851.027097070051
101,942.408505857195
102,989.703333473837
103,868.770834184397
104,900.017280547647
105,848.868168634173
106,911.413590522658
107,928.25919357664
108,913.907049220958
109,864.243249097301
110,890.211431272488
111,868.559970651331
112,918.088758517668
113,827.827458186148
114,871.55749085742
115,854.516804120169
116,913.672729400816
117,944.589622774234
118,858.946211951159
119,957.40866464049
120,862.46324925308
121,955.088395638944
122,851.317416411563
123,900.805392175345
124,838.581725925149
125,880.301305530244
126,873.803847305506
127,939.52657387458
128,826.791742977774
129,871.843293481914
130,843.129943641427
131,910.863943649238
132,910.072320972555
133,901.50363147902
134,835.266606785779
135,898.057035038612
136,837.87958712042
137,930.535346534874
138,824.400174470444
139,828.774673437918
140,829.733500942966
141,865.505685969125
142,869.522086804733
143,885.209224712846
144,970.98644091982
145,970.084571168554
146,899.797873348623
147,930.815089135227
148,851.951286981406
149,869.758967890957
150,944.066366447514
151,894.54807156774
152,958.646808719641
153,856.635310146419
154,859.627450002168
155,853.539151983758
156,930.236363276315
157,844.86619817256
158,856.989605150855
159,956.430070880684
160,904.306222550906
161,827.632039322663
162,846.380566265972
163,818.979600218314
164,841.015811044956
165,957.815197260265
166,924.882294654861
167,830.888687375933
168,852.814131899548
169,846.252485472171
170,823.166719228742
171,921.9725721742
172,966.935653851047
173,849.952850659232
174,849.297153163789
175,849.136308005269
176,843.162288580585
177,841.805568359036
178,841.17969228611
179,941.815999331739
180,957.899699951522
181,940.343189875202
182,854.947259385721
183,869.775778039679
184,877.404718376449
185,835.888797108419
186,926.164033244888
187,845.878195831334
188,867.69471516354
189,853.523039400505
190,953.970049973708
191,894.953953540811
192,853.624732851487
193,860.838190001625
194,833.853507243868
195,945.845279209505
196,871.344735004313
197,953.297760967995
198,923.064237372339
199,855.630961252624
200,997.034779293477
201,905.138076838513
202,860.593450893488
203,872.088418872707
204,915.491408166927
205,904.881055524747
206,906.695233249484
207,858.977757222397
208,845.038927592686
209,843.166827128953
210,873.086637265631
211,871.705567596102
212,880.654919312292
213,862.449494579487
214,925.487849357844
215,843.501353387284
216,893.393229603927
217,877.348619272496
218,834.81069668509
219,988.669897307584
220,828.650264562719
221,870.88643894218
222,973.572634043929
223,880.7548571347
224,905.699069275186
225,860.366474830764
226,948.727545173417
227,959.769067496774
228,859.735994823335
229,863.757209108779
230,905.507254189244
231,934.383393250115
232,865.803839040003
233,856.264003299904
234,882.125729479696
235,839.282227888238
236,841.747878440467
237,916.580888122815
238,834.480651510326
239,873.779562030497
240,900.486522589315
241,916.157323471794
242,854.834310451799
243,914.99043568068
244,986.227671678062
245,924.885615393592
246,924.322323058514
247,851.592692441292
248,846.721665386242
249,921.216804480719
250,857.669348159237
251,894.587041786421
252,906.877174361536
253,961.990377319366
254,796.036736372422
255,975.157248237039
256,854.69070117209
257,855.333001168226
258,917.533398618514
259,902.722053909747
260,963.64668731163
261,858.525528116879
262,906.049652671572
263,822.660263085389
264,894.357674390223
265,905.258062037305
266,883.205249110819
267,889.38967201607
268,901.580126839515
269,914.169962477405
270,816.596478298496
271,846.775393978402
272,844.35154660148
273,934.324831163874
274,959.630008637658
275,907.632440669084
276,849.733307458693
277,868.138859848128
278,938.610782938573
279,853.219351370048
280,978.710464652293
281,903.432026608527
282,843.078812510357
283,800.046765273524
284,876.280204755079
285,849.725687292768
286,920.661085222266
287,849.520553697919
288,946.464092809692
289,855.553212677871
290,943.606647847904
291,851.828922142115
292,877.57053652835
293,846.766947757758
294,951.232956233769
295,957.765578799081
296,822.830088068571
297,920.79676992532
298,969.011857218764
299,909.349743887811
300,882.195371800903
301,939.124426098249
302,992.585647941582
303,910.574533084175
304,886.618840152165
305,845.12064437574
306,941.348792016244
307,859.628418515043
308,861.98373517624
309,940.155587788468
310,870.685615520415
311,855.013900126287
312,842.118444636202
313,953.280733286942
314,839.825978954599
315,850.499614986169
316,912.400550503866
317,868.753087849647
318,888.640241444344
319,943.10817695786
320,892.241145441672
321,894.295508966679
322,962.653389010404
323,844.885042562993
324,934.873646709311
325,928.158563665944
326,897.655486105999
327,865.337760368842
328,907.683664326963
329,842.272728896787
330,924.366378931765
331,898.075605930091
332,957.960850923395
